Tabela 3416 - Índices de volume e de receita nominal de vendas no comércio varejista, por tipos de índice (2011 = 100);;;;
Brasil;;;;
Mês;Variável X Tipos de índice;;;
;Índice de volume de vendas no comércio varejista (Número índice);;Índice de receita nominal de vendas no comércio varejista (Número índice);
;Índice base fixa (2011=100);Índice base fixa com ajuste sazonal (2011=100);Índice base fixa (2011=100);Índice base fixa com ajuste sazonal (2011=100)
01/01/2000;53,2;57,2;28,9;30,9
01/02/2000;53,8;57,9;29,2;31,4
01/03/2000;56,1;58,5;30,5;31,6
01/04/2000;56,1;58,3;30,5;31,5
01/05/2000;58,4;58,8;31,7;32
01/06/2000;55,6;58,5;30,2;32,2
01/07/2000;57,6;58,6;32;32,8
01/08/2000;57,4;58;32,6;33,1
01/09/2000;56;58,1;31,9;33,4
01/10/2000;57,1;57,2;32,5;32,6
01/11/2000;58,1;58,2;33,2;33,2
01/12/2000;80,1;58,6;46;33,4
01/01/2001;54,2;58,4;31,3;33,5
01/02/2001;51,1;58,3;29,5;33,5
01/03/2001;57,5;58,1;33,4;33,6
01/04/2001;55;57,8;32,2;33,6
01/05/2001;57,1;57,3;33,4;33,6
01/06/2001;54,9;57,1;32,1;33,8
01/07/2001;55,2;56,9;32,7;34
01/08/2001;56,7;56,9;33,8;34,1
01/09/2001;54,4;57;32,5;34,4
01/10/2001;57,8;57,3;34,9;34,6
01/11/2001;56,7;56,8;34,6;34,5
01/12/2001;77,9;57,4;47,7;34,8
01/01/2002;53,6;57,5;32,8;34,9
01/02/2002;50,3;57,5;30,7;34,9
01/03/2002;57,7;57,5;35,5;35,2
01/04/2002;53,9;57,7;33,5;35,6
01/05/2002;57,8;57,7;35,9;35,8
01/06/2002;53,9;56,6;33,5;35,5
01/07/2002;56,2;57,2;35,3;36,3
01/08/2002;58;57,7;36,8;36,9
01/09/2002;53,6;57;34,5;37,1
01/10/2002;58,1;57,5;38,2;37,9
01/11/2002;56,7;56,2;39,1;38,6
01/12/2002;73,9;55,2;52,1;38,6
01/01/2003;51,2;54,5;37,5;39,6
01/02/2003;49,5;55,3;36,8;41
01/03/2003;51,1;54;38,8;40,7
01/04/2003;51,9;53,8;39,7;40,9
01/05/2003;54,2;53,6;41,3;40,8
01/06/2003;50,8;53,8;38,4;41
01/07/2003;53,7;54,4;40,3;41,2
01/08/2003;54,7;54,9;41;41,5
01/09/2003;52,1;55,2;39,4;42,2
01/10/2003;56,4;55,6;42,7;42,3
01/11/2003;56,6;56,7;42,9;42,9
01/12/2003;76,3;56,5;57,8;42,4
01/01/2004;54,3;57,2;41,4;43,3
01/02/2004;52;58,1;39,6;44,1
01/03/2004;56,7;58,6;43,1;44,4
01/04/2004;57,2;59,1;43,4;44,7
01/05/2004;60;59,9;45,9;45,7
01/06/2004;57,4;60,1;44,5;46,7
01/07/2004;60,2;60,3;47;47,4
01/08/2004;58,4;59,8;46,1;47,6
01/09/2004;56,9;59,9;44,9;47,7
01/10/2004;61,1;60,5;48,4;48,1
01/11/2004;60,1;60,8;48;48,5
01/12/2004;85;62,4;68,6;50
01/01/2005;57,7;61,2;46,8;49,4
01/02/2005;53,1;61;43,1;49,4
01/03/2005;61,1;61,5;49,7;50
01/04/2005;59,1;61,9;48,5;50,6
01/05/2005;61,6;62,1;50,9;51,2
